codigo_medicamento,nombre_medicamento,grupo_medicamento
AW60142,Cepillo Dental Pro 425 Adulto Suave (FS),AW6
A100043,Trayenta 5 mg Caja x 30 Tableta (Linagliptina)  (FP) [RG],A10
AW60148,Crema De Limon Latax15g (FS),AW6
A020066,Gaviscon  Doble Acción 500/160/267mg suspensión oral Sachet x 10 mL  (FP),A02
A070040,Ifaxim 200 mg Caja x 14 Capsula (Rifaximina) (FP),A07
D080008,Alumbre Papeletas x 15 g Athos (FP),D08
D100032,Differin 0.3% Gel Tubo x 30 g (Adapaleno)(FP),D10
A120025,Giralmet 1000 Unidades/80 mg Frasco x 30 Tableta Masticable (Vitamina D3/Magnesio) Drog),A12
G030071,Qlaira 3mg/2mg Caja x 28 Tabletas (Dienogest/Valerato Estradiol) (RG) (FP),G03
AZ70005,Algodon Bolsa x 25g MK (FP),AZ7
R050065,Pax Noche Sobre x 6 g (FP),R05
AW60149,Crema Dental Colgate Triple Accion Tubo x 22g (FS ),AW6
D110042,Acid Mantle Jabon Barra x 90 g (FP),D11
S010119,Luz-Zul 0.1% Solucion oftalmica Frasco gotero (Nafazolina)(FP),S01
G010002,Gynoflor 500 mg/100 mg Tabletas Vaginales (Metronidazol/Clotrimazol) ( Drog ),G01
G020002,Fitostimoline ovulo 0.6 g/0.04 g Caja x 6 Óvulo (Triticum vulgare/Fenoxietanol) (FP),G02
D010021,Icaden 1% Crema Tubo x 20 g (Isoconazol )(FP),D01
D010027,Trigentax 1g/0.5 g/0.04 g x 100 gramos Crema Tubo x 20g (Clotrimazol/Neomicina/Betametasona (Drog),D01
D010028,Dermaskin 1g/0.04 g/0.5g por 100 g Crema Tubo x 20 g (Clotrimazol/Dexametasona/Neomicina) (Drog),D01
D020002,Pasta Lassar 0.25 g por gramo Pasta x 60 (Oxido de zinc)(FP),D02
M010093,Advil Max 400 mg Frasco x 16 CApsula  (Ibuprofeno) (FP),M01
M020002,Vacol 0.1 Pomada Pote x 60 g (Sulfato de magnesio) (FP),M02
M020004,Casacine 0.075% Crema Tubo x 20 g (Capsaicina)(Drog),M02
M020005,Casacine 0.025% Crema Tubo x 20 g (Capsaicina)(FP),M02
V060032,Enfamil premium 2 Tarro x 375 g Polvo para reconstituir (FS),V06
V060046,Enfagrow Premium   Etapa 3 Tarro x 375g Polvo Para Reconstituir (FS),V06
G030011,Angeliq 1 mg/2 mg Caja x 28 Tabletas (Estradiol/Drospirenona) (RG) (FP),G03
G030012,Belara 2 mg/0.03 mg Caja x 21 Tabletas (Clormadinona/Etinilestradiol) (RG) (FP),G03
G030018,Femelle 20 CD 3 mg/20 mcg Caja x 28 Tabletas (Drospirenona/Etinilestradiol) (RG) (FP),G03
G030031,Neogynon 0.25 mg/0.05 mg Caja x 21 Grageas (Levonorgestrel + Etinilestradiol) (RG) (FP),G03
G030046,Livial 2.5 mg Caja x 30 Tabletas (Tibolona) ( RG )(FP),G03
D020013,Metatitane 8g/18.5 g/0.15g x 100g Pomada Tubo x 40 g (Dioxido titanio/Ox de zinc/Vitam A(FP),D02
D020017,Salilex 2% Barra Syndet x 120g (Acido salicilico) (Drog),D02
D040007,Cicaderm NF 8.5 g/3.5 g por 100 gramos Crema topica Tubo x 60 g (Oxido de zinc/Calamina)  (Dro),D04
S020002,Panotil B10 mil U/3.75 mg/1mg/40mg Sln Otica Frasco gotero 8mL (Polimixin/Neomici/Betamet/Lidoca(FP,S02
S020004,Otosec 0.3% Solucion otica Frasco gotero x 10 mL (Ciprofloxacina )(FP),S02
S020005,Otosec HC 0.3%/1% Solucion Otica Frasco Gotero x 10 mL (Ciprofloxacina/Hidrocortisona) (FP),S02
S020008,Otirilin 4%/1% Solucion otica Frasco gotero x 13 mL (Fenazona/Lidocaina) (VMR) (Drog),S02
V060087,Pediasure 400 g Polvo para reconstituir Fresa (FP),V06
C050002,Lioton 1000 Unidades/g Gel Tubo x 30 g (Heparina sódica) (FP),C05
C050004,Crema Cero ORIGINAL 20 g por 100 gramos Emulsion topica Pote x 50 g (Oxido de zinc) ( Drog ),C05
C050005,Crema Cero ORIGINAL 20 g por 100 gramos Crema Pote x 110 g (Oxido de zinc) (FP),C05
C050006,Vasoton 1%/0.3%/5% Gel Tubo x 40 g (Escina/Heparina/Dietilamina) (VMR) (Drog),C05
M010023,Advil Children 100 mg/5 mL Suspension oral Frasco x 100 mL (Ibuprofeno) (FP),M01
M010062,Advil Children 100 mg/5 mL Suspension oral Frasco x 60 mL (Ibuprofeno)  (FP),M01
V030024,Vick Vaporub x 50 g (Alcanfor/Aceite de eucaliptus/Mentol 5.2%/1.2%/2.8% Crema Frasco 8%) (FS ),V03
V060012,Ensure Fos Vainilla Lata x 900 g Polvo Para Reconstituir (FP),V06
AW40085,Chapstick Ultra Humectante Labial x 4.2g (FS),AW4
AW40090,Hidro Fugal Roll-On Frasco x 50mL (FS),AW4
AW40095,Lubriderm Proteccion Solar Uv-15 potex200ml FS),AW4
AW40103,Lubriderm Reparacion Intensiva Potex200ml (FP),AW4
AN10005,Bisturi Punta de Metal Ref OE-112 Marca Offi-Esco,AN1
AN10009,Boligrafo Tinta Negra Kilometrico 100,AN1
AN20070,Bolsa Cierre Hermetico de 20 cms x 30 cms x 10 uds,AN2
AW40113,Crema Liquida J&j Antes De Dormir Potex400mL (FS),AW4
AW40117,Sunaid Base Cubriente Piel Oscura Caja x 13g (FP),AW4
AN10001,Almohadilla Dactilar,AN1
AN20060,Bolsa Azul Biodegradable Impresion Drogueria Calibre 2 de 45x61 cm,AN2
AN20061,Bolsa Verde Biodegradable Impresion Drogueria Calibre 1.5 de 28x38 cm,AN2
AN20024,Bolsa Transparente de 14  x 20 cms x 100 Unidades,AN2
AN20022,Bolsa Transparente de 35 x 25cms x 100 Uds,AN2
AN10029,Cinta de Enmascarar Multiproposito Marca Tesa  3/4  x 40 m Ref 53123,AN1
AN10034,Cinta Transparente 1/2 Pulgada x 40 Mts,AN1
AN10035,Cinta Transparente de 2,AN1
BB10008,F-020 Talonario Salida Externa 50 x 3 Hojas,BB1
G040023,Viagra 100 mg Caja x 1Tableta (Sildenafil ) (FP) [VMR],G04
D060018,Isodine 10% Solucion Topica Frasco x 60 mL (Iodopovidona)  (Drog),D06
D060022,Isodine 10% Solucion Topica Frasco x 120 mL (Yodopovidona) (FP),D06
AW20014,Pañal Huggies Active Sec Etapa 4/XG Paquete x 50  Unidades (12 a 15 Kilos) (FS),AW2
AW30071,Silicare Pelicula Protectora De Manos Emulsio Potex60g (FP),AW3
