Codigo,Medicamento,Accion Terapeutica,Laboratorio
M0000007275,6-COPIN,Antiemético, Anticinetósico,BAGO
M0000007276,ABACAVIR 300MG,Inhibidores de la Transcriptasa Reversa Nucleósidos y Nucleótidos,LEGRAND
M0000007277,ABACAVIR HUMAX,Antirretroviral contra el HIV,HUMAX
M0000007278,ACCUPRIL,Inhibidor de la ECA,PFIZER
M0000007279,ACEOTO PLUS,Antibiótico, Antiinflamatorio ótico,ZAMBON
M0000007280,ACERDIL 24 HORAS,Antihipertensivo, Terapéutico coronario,NOVAMED
M0000007281,ACETAMINOFEN,Analgésico, Antipirético,GENFAR
M0000007282,ACETAMINOFEN,Analgésico, Antipirético,LABINCO
M0000007283,ACETAMINOFEN,Analgésico, Antipirético,BEST
M0000007284,ACETAMINOFEN (NADOREX),Analgésico, Antipirético,BEST
M0000007285,ACETAMINOFEN 500MG Y CODEINA 30MG,Analgésico, antipirético,NOVAMED
M0000007286,ACETAMINOFEN 500MG Y CODEINA 8MG,Analgésico, antipirético,NOVAMED
M0000007287,ACETAMINOFEN FORTE MK,Analgésico, antipirético,MK
M0000007288,ACETAMINOFEN MK,Analgésico, antipirético,MK
M0000007289,ACETATO DE ALUMINIO 0.118G/100ML,Astringente, emoliente,GENFAR
M0000007290,ACETATO DE ALUMINIO POLVO,Astrigente de uso externo,GENFAR
M0000007291,ACETILCISTEINA,Mucolítico,GENFAR
M0000007292,ACETILCISTEINA ECAR,Mucolítico,ECAR
M0000007293,ACEVITAL,Suplemento dietario, Prevención del CA de próstata - Envejecimiento prematuro de la piel,NEVOX FARMA
M0000007294,ACIBATH / ACIBATH SCRUB,Limpiador líquido, Limpiador para la piel grasa (ACIBATH-S®), Exfoliante suave (ACIBATH SCRUB®),SIEGFRIED
M0000007295,ACIBIOGEL SUSPENSION,Antiácido,GRÜNENTHAL
M0000007296,ACICAR-E,Cicatrizante,GRUINFACOL
M0000007297,ACICLOVIR,Antiviral,GENFAR
M0000007298,ACICLOVIR 5% LA SANTE,Antiviral,LA SANTE
M0000007299,ACICLOVIR CREMA VAGINAL,Antiviral,GENFAR
M0000007300,ACICLOVIR LA SANTE,Antiviral,LA SANTE
M0000007301,ACICLOVIR MK,Antiviral para uso sistémico y dermatológico,MK
M0000007302,ACICLOVIR ORAL,Antiviral,RECIPE
M0000007303,ACICLOVIR UNGÜENTO TOPICO,Antiherpético, Antiviral,GENFAR
M0000007304,ACIDO ACETILSALICILICO,Analgésico, Antipirético,GENFAR
M0000007305,ACIDO FOLICO ECAR,Antianémico,ECAR
M0000007306,ACIDO FUSIDICO,Antibiótico tópico,GENFAR
M0000007307,ACIDO FUSIDICO 2% CREMA MK,Antibiótico para uso dermatológico,MK
M0000007308,ACIDO IBANDRONICO,Inhibidor de la resorción osteoclástica,GENFAR
M0000007309,ACIDO IBANDRONICO LA SANTE,Bifosfonato,LA SANTE
M0000007310,ACIDO MEFENAMICO MK,Antiinflamatorio no esteroideo,MK
M0000007311,ACIDO MICOFENOLICO PISA,Micofenolato de Mofetilo se usa como inmunosupresor para prevenir el rechazo agudo en caso de pacientes sometidos a transplante de corazón, renal o hepático, así como en el caso de injerto de rechazo refractario del injerto en alotransplante,PISA
M0000007312,ACIDO NICOTINICO ECAR,Vasodilatador periférico,ECAR
M0000007313,ACIDO ZOLEDRONICO,Inhibidor de la reabsorción ósea,BLAU
M0000007314,ACIDO ZOLEDRONICO,Inhibidor de la reabsorción ósea,COMERC.MEDICA
M0000007315,ACIDRINE,Antialérgico, antihistamínico no sedante,NOVAMED
M0000007316,ACIDRINE-D,Antialérgico, antihistamínico no sedante, Descongestivo nasal,NOVAMED
M0000007317,ACIVIROL,Antiherpético Tópico,COASPHARMA
M0000007318,ACLASTA,Inhibidor de la resorción osteoclástica,NOVARTIS
M0000007319,ACT-HIB,Vacuna conjugada de Haemophilus influenzae tipo B,SANOFI-PASTEUR
M0000007320,ACTAEA 3D GOTAS,Menopausia,MINERALIN
M0000007321,ACTILYSE,Fibrinolítico,BOEH.INGEL.
M0000007322,ACTIN,Antiisquémico, antivertiginoso, vasodilatador, captador de radicales libres y vasorregulador anti-PAF,NOVAMED
M0000007323,ACTRON 400,Analgésico no esteroide, Antiinflamatorio,BHC - BAYER
M0000007324,ACTRON 600,Analgésico no esteroide, Antiinflamatorio,BHC - BAYER
M0000007325,ACULAR LS,Analgésico, antiinflamatorio oftálmico,ALLERGAN
M0000007326,ACURETIC,Antihipertensivo, Diurético,PFIZER
M0000007327,ADALAT OROS,Antihipertensivo, Terapéutico coronario,BHC - BAYER
M0000007328,ADBIOTIN,Antibiótico de amplio espectro,ETYC
M0000007329,ADELLA,Anticonceptivo hormonal,PROCAPS
M0000007330,ADELLA MINI,Antiacneico, Anticonceptivo oral,PROCAPS
M0000007331,ADIX,Fluoroquinolonas,LEGRAND
M0000007332,ADLERSARTAN,Antihipertensivo,DATA PHARM.
M0000007333,ADOREM,Analgésico antipirético,SIEGFRIED
M0000007334,ADOREM GRIPA,Tratamiento sintomático del resfriado común,SIEGFRIED
M0000007335,ADOREM PLUS,Analgésico antipirético,SIEGFRIED
M0000007336,ADORLAN TABLETAS,Analgésico,GRÜNENTHAL
M0000007337,ADRENALINA INYECTABLE,Vasoconstrictor,ECAR
M0000007338,ADRIBLASTINA,Antineoplásico,PFIZER
M0000007339,ADS MYORITMO TABLETAS,Cardiotónico Digitálico,ADS PHARMA
M0000007340,ADVANTAN,Corticosteroide tópico,BHC - BAYER
M0000007341,AERIUS,Antihistamínico no sedante, de Dosis única diaria,MSD
M0000007342,AEROVIAL,Antiasmático,NOVAMED
M0000007343,AFELIUS 50 - AFELIUS OIL FREE,Fotoprotección integral, Fotoprotector integral con efecto antioxidante (AFELIUS®50), Fotoprotector integral libre de lípidos (AFELIUS®OIL FREE),SIEGFRIED
M0000007344,AFINITOR,Inhibidor de la proteinquinasa,NOVARTIS
M0000007345,AFLAREX,Antiinflamatorio,ALCON
M0000007346,AFLUX,Mucolítico,TECNOQUIMICAS
M0000007347,AFRIN,Descongestivo nasal,MSD
M0000007348,AFRISAL,Solución Salina Nasal Humectante,BAYER
M0000007349,AGRILAX,Antiácido, coadyuvante en el manejo del reflujo gastroesofágico,ADEXA PHARMA
M0000007350,AGUA ESTERIL PARA INYECCION,Diluyente,GENFAR
M0000007351,AGUA MICERAL TERMAL URIAGE,Las aguas micelares termales de Uriage están perfectamente adaptadas para desmaquillar cualquier tipo de piel, gracias a las propiedades únicas del Agua Termal de Uriage, Sus tensoactivos no iónicos suaves, que forman micelas, actúan como imanes capturando eficazmente el maquillaje y las impurezas,MEDIVELIUS
M0000007352,AGUA MICERAL TERMAL URIAGE PIEL MIXTA,Las aguas micelares termales de Uriage están perfectamente adaptadas para desmaquillar cualquier tipo de piel, gracias a las propiedades únicas del Agua Termal de Uriage, Sus tensoactivos no iónicos suaves, que forman micelas, actúan como imanes capturando eficazmente el maquillaje y las impurezas,MEDIVELIUS
M0000007353,AGUA OXIGENADA JGB,Antiséptico de uso externo,JGB
M0000007354,AGUA PARA IRRIGACIÓN PISA,Diluyente,PISA
M0000007355,AINEX,Antiinflamatorio no esteroideo,MSD
M0000007356,AIRBRON,Antialérgico, Antiasmático, Antileucotrieno,LABINCO
M0000007357,AIRFLEX,Miorrelajante,LABINCO
M0000007358,AIRMAX,Broncodilatador,CHALVER
M0000007359,AIROMED,Antagonista del receptor de leucotrieno,NOVAMED
M0000007360,AJO INOLORO-GARLIC ODORLESS SUNDOWN,Suplemento natural,SUNDOWN NAT.
M0000007361,AKATINOL,Modulador del glutamato, Manejo de la enfermedad de Alzheimer y demencia vascular,FARMA COLOMBIA
M0000007362,AKINETON,Antiparkinsoniano,BAGO
M0000007363,ALACTIN,Tratamiento de desórdenes hiperprolactinémicos,PROCAPS
M0000007364,ALAP,Antialérgico,PROCAPS
M0000007365,ALBASOL,Descongestivo oftálmico,ALLERGAN
M0000007366,ALBENDAZOL,Antihelmíntico de amplio espectro,GENFAR
M0000007367,ALBENDAZOL MK,Antihelmíntico derivado del benzimidazol,MK
M0000007368,ALBISEC,Antiinfeccioso vaginal,PROCAPS
M0000007369,ALBISEC ONE G-TABS,Antiinfeccioso vaginal,PROCAPS
M0000007370,ALBUMINA,Expansor coloidal fisiológico,DELTA
M0000007371,ALBUMINA,,BIOSPIFAR
