Codigo,Medicamento,Accion Terapeutica,Laboratorio
M0000048151,ZULEXTA,font-size: 3.5emAntineoplásico, Inhibidor de Tirosina Kinasafont-size: 3.5em,HB HUMAN BIOSC
M0000048150,ZOLNOX,Tratamiento agudo de la cefalea migrañosa con o sin aura por vía nasal,ABBOTT
M0000048149,ZITROSHER,Antibiótico macrólido de amplio espectro,HERSON
M0000048148,ZIMAQUIN,Estimulante de la ovulación,ABBOTT
M0000048147,ZEPAX,Antidepresivo,SIEGFRIED
M0000048146,YARDIX,Tratamiento de la Esclerosis múltiple remitente-recurrente,ABBOTT
M0000048145,XOIV,Analgésico,NEVOX FARMA
M0000048144,XICRIM,Lágrima artificial,ABBOTT
M0000048143,XEROLYS 10,Emoliente de larga duración para pieles muy secas,EUROETIKA
M0000048142,WINDUZA,Antineoplásico,DR.REDDY'S
M0000048141,VOKANAMET,Antidiabético oral,JANSSEN-CILAG
M0000048140,VITAMINA C LA SANTE,Suplemento vitamínico,LA SANTE
M0000048139,VISOMEGA,Suplemento dietario con Omega 3 al 84% + vitamina c + vitamina e + zinc + cobre + luteína + zeaxantina,PROCAPS
M0000048138,VICONAZOL,Antimicótico,HUMAX
M0000048137,VENUXIA CYCLIC,Terapia de reemplazo hormonal,ABBOTT
M0000048136,VENUXIA,Terapia de reemplazo hormonal,ABBOTT
M0000048135,VEGETARIAN OMEGA 3-6-9,Suplemento dietario,IPEF
M0000048134,VALACICLOVIR MK,font-size: 3.5emAntiviral, no retroviralfont-size: 3.5em,MK
M0000048133,UROVITAL,Infecciones urinarias,NATURAL FRESHLY
M0000048132,UROMAX,Androgenoterapia,ABBOTT
